OrderID,DisplayCustomer,Customer for OutShipment::CustomerID,ChemistryIDs,OutShipID,OrderID,ChemistryIDs,DisplayCustomer,Location,EstShipDate,TrailerTypeDisplay,Drum CT,TrailerTypes::MaxShipUnits,TrailerTypes::MaxWeight,cNumUnitsOut,cGrossWeight,cQuantity,InvUnit for OutShipment::InvUnitID,UnitTypes for InvUnit for OutShipment::UnitType,InvUnit for OutShipment::Area,MRL for OutShipment InvUnit::MaterialName,InvUnit for OutShipment::Notes,InvUnit for OutShipment::ESAUnit,InvUnit for OutShipment::GrossWeight,InvUnit for OutShipment::Quantity
K001503,"M3 Resources USA, LLC",3949,,2110,K001503,,"M3 Resources USA, LLC",Howell,05/03/2012,53’ Trailer,,24,"44,000 ",22,"43,515 ",,102506,4x4 Pallet,Aisle 1,M-BNL-202 VRLA Orng/Blu/Yel,,,"3,427.00 ",
,,,,,,,,,,,,,,,,,103499,4x6 Pallet Long,Aisle 1,M-BNL-202 VRLA Orng/Blu/Yel,,,"2,437.00 ",
,,,,,,,,,,,,,,,,,103500,4x6 Pallet Long,Aisle 1,M-BNL-202 VRLA Orng/Blu/Yel,,,"2,147.00 ",
,,,,,,,,,,,,,,,,,103501,4x6 Pallet Long,Aisle 1,M-BNL-202 VRLA Orng/Blu/Yel,,,"2,777.00 ",
,,,,,,,,,,,,,,,,,103502,4x6 Pallet Long,Aisle 1,M-BNL-202 VRLA Orng/Blu/Yel,,,"2,764.00 ",
,,,,,,,,,,,,,,,,,103503,4x6 Pallet Long,Aisle 1,M-BNL-202 VRLA Orng/Blu/Yel,,,"2,272.00 ",
,,,,,,,,,,,,,,,,,102739,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,,"2,139.00 ",
,,,,,,,,,,,,,,,,,102745,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,,"2,027.00 ",
,,,,,,,,,,,,,,,,,102747,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,,"2,042.00 ",
,,,,,,,,,,,,,,,,,101917,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,108.00 ",
,,,,,,,,,,,,,,,,,103334,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,326.00 ",
,,,,,,,,,,,,,,,,,103337,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,730.00 ",
,,,,,,,,,,,,,,,,,103338,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,735.00 ",
,,,,,,,,,,,,,,,,,103339,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,327.00 ",
,,,,,,,,,,,,,,,,,103341,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,729.00 ",
,,,,,,,,,,,,,,,,,103347,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,738.00 ",
,,,,,,,,,,,,,,,,,103531,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,814.00 ",
,,,,,,,,,,,,,,,,,103535,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,795.00 ",
,,,,,,,,,,,,,,,,,103537,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,788.00 ",
,,,,,,,,,,,,,,,,,103541,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,792.00 ",
,,,,,,,,,,,,,,,,,103542,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,792.00 ",
,,,,,,,,,,,,,,,,,103544,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,809.00 ",
