OrderID,DisplayCustomer,Customer for OutShipment::CustomerID,ChemistryIDs,OutShipID,OrderID,ChemistryIDs,DisplayCustomer,Location,EstShipDate,TrailerTypeDisplay,Drum CT,TrailerTypes::MaxShipUnits,TrailerTypes::MaxWeight,cNumUnitsOut,cGrossWeight,cQuantity,InvUnit for OutShipment::InvUnitID,UnitTypes for InvUnit for OutShipment::UnitType,InvUnit for OutShipment::Area,MRL for OutShipment InvUnit::MaterialName,InvUnit for OutShipment::Notes,InvUnit for OutShipment::ESAUnit,InvUnit for OutShipment::GrossWeight,InvUnit for OutShipment::Quantity
K224874,"M3 Resources USA, LLC",3949,L001,5872,K224874,L001,"M3 Resources USA, LLC",Howell,08/29/2016,53’ Trailer,,24,"44,000 ",21,"43,560 ",,334277,4x4 Pallet,Aisle 1,M-BNL-201 VRLA Small,,Any,"2,550.00 ",
,,,,,,,,,,,,,,,,,334281,4x4 Pallet,Aisle 1,M-BNL-201 VRLA Small,,Any,"2,559.00 ",
,,,,,,,,,,,,,,,,,334284,4x4 Pallet,Aisle 1,M-BNL-201 VRLA Small,,Any,"2,117.00 ",
,,,,,,,,,,,,,,,,,334285,4x6 Pallet Long,Aisle 1,M-BNL-201 VRLA Small,X3,Any,"2,517.00 ",
,,,,,,,,,,,,,,,,,334303,4x4 Pallet,Aisle 1,M-BNL-201 VRLA Small,,Any,"2,222.00 ",
,,,,,,,,,,,,,,,,,334308,4x4 Pallet,Aisle 1,M-BNL-201 VRLA Small,,Any,"1,595.00 ",
,,,,,,,,,,,,,,,,,334318,4x4 Pallet,Aisle 1,M-BNL-201 VRLA Small,,Any,"2,867.00 ",
,,,,,,,,,,,,,,,,,334327,4x4 Pallet,Aisle 1,M-BNL-201 VRLA Small,,Any,"2,206.00 ",
,,,,,,,,,,,,,,,,,334005,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,Any,"1,484.00 ",
,,,,,,,,,,,,,,,,,334275,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,Any,"2,503.00 ",
,,,,,,,,,,,,,,,,,334305,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,Any,"1,456.00 ",
,,,,,,,,,,,,,,,,,334314,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,Any,"1,418.00 ",
,,,,,,,,,,,,,,,,,334315,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,Any,"2,533.00 ",
,,,,,,,,,,,,,,,,,334317,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,Any,"1,436.00 ",
,,,,,,,,,,,,,,,,,334321,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,Any,"1,439.00 ",
,,,,,,,,,,,,,,,,,334324,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,Any,"1,444.00 ",
,,,,,,,,,,,,,,,,,334330,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,Any,"2,733.00 ",
,,,,,,,,,,,,,,,,,334334,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,Any,"2,321.00 ",
,,,,,,,,,,,,,,,,,334337,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,Any,"2,075.00 ",
,,,,,,,,,,,,,,,,,334339,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,Any,"2,009.00 ",
,,,,,,,,,,,,,,,,,334340,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,Any,"2,076.00 ",
